Crisis ID,Type of Community Crisis,What,Where,When,How,Severity,Duration
702,Terrorist Attack,hostage crisis,"1925 Robert Isle, East Mary, NH 38530",13-08-2022 09:43,armed assault,moderate,within 36 hours
703,Riot,riot,"23579 Cody Trace, Port Marcus, GU 88773",03-10-2022 20:34,riot,moderate,within 24 hours
704,Protest,march,"5880 Mark Locks, Blackmouth, MN 68584",20-12-2021 05:53,march,very high,within 36 hours
705,Riot,civil unrest,"8882 Peter Highway, Port Michaelfort, SC 18213",03-08-2021 15:42,riot,low,within 24 hours
706,Public Health Emergency,epidemic,"5240 Richard Drives, Port Ryan, NH 00591",10-07-2023 03:46,outbreak,very low,within 24 hours
707,Labor Strike,industrial action,"20476 Melissa Falls Suite 477, Lake Christinachester, DE 51019",23-06-2021 15:00,strike,low,within 12 hours
708,Terrorist Attack,terrorism,"4189 Brady Alley Suite 916, West Laurenchester, IL 37309",12-05-2023 18:09,hostage crisis,moderate,within 36 hours
709,Public Health Emergency,public health emergency,"0576 Raymond Rapid, Robertmouth, WI 19111",01-08-2023 14:06,epidemic,very high,within 36 hours
710,Terrorist Attack,bombing,"98921 Young Manors, Sherryfurt, AR 04367",13-03-2022 00:17,terrorism,very high,within 12 hours
711,Crime Spree,crime spree,"03639 John Ridges Suite 784, Greenchester, NY 00862",08-08-2022 07:39,criminal outbreak,low,within 36 hours
712,Environmental Hazard,ecological threat,"3862 George Haven Apt. 042, North Jennifer, VI 36693",29-10-2021 21:35,ecological threat,low,within 36 hours
713,Labor Strike,strike,"146 Clinton Island Apt. 040, Kevinshire, RI 82085",01-09-2023 04:11,labor strike,moderate,within 12 hours
714,Crime Spree,criminal activity,"PSC 4050, Box 0035, APO AE 50213",20-03-2022 13:15,lawlessness,moderate,within 12 hours
715,Civil War,civil war,"875 Collins Circle Apt. 179, New Scott, LA 75560",23-10-2023 10:52,civil war,high,within 36 hours
716,Public Health Emergency,public health emergency,"PSC 1822, Box 4683, APO AE 89729",23-04-2022 08:27,epidemic,very high,within 12 hours
717,Civil War,conflict,"935 Matthew Ridges, North Thomasburgh, IL 58852",13-08-2021 16:38,armed conflict,high,within 36 hours
718,Terrorist Attack,bombing,"3586 Harmon Drives Apt. 507, Port Christophermouth, FM 81076",28-12-2022 00:36,terrorist attack,very high,within 48 hours
719,Environmental Hazard,environmental hazard,"124 George Oval, Lake Vincentfurt, CT 81644",26-03-2023 02:49,toxic contamination,high,within 12 hours
720,Crime Spree,crime wave,"5277 Morris Summit Apt. 574, Edwardhaven, MT 29922",16-11-2021 20:30,lawlessness,very high,within 6 hours
721,Public Health Emergency,pandemic,"Unit 0187 Box 9473, DPO AE 37655",27-12-2023 16:18,public health emergency,high,within 36 hours
722,Labor Strike,worker protest,"8458 David Mountains, Sherrystad, NH 98377",11-05-2023 07:37,labor dispute,very low,within 24 hours
723,Riot,civil unrest,"PSC 5670, Box 2425, APO AP 77717",12-08-2021 00:07,violent protest,very high,within 36 hours
724,Riot,riot,"Unit 7379 Box 6489, DPO AA 97481",10-07-2020 21:50,uprising,moderate,within 48 hours
725,Civil War,civil war,"89326 Anderson Common, Phillipsville, SC 87636",24-09-2023 01:11,civil war,high,within 48 hours
726,Terrorist Attack,terrorist attack,"08383 Daniels Islands, Shannonhaven, KS 02031",07-11-2023 10:48,armed assault,high,within 18 hours
727,Protest,strike,"1581 Gonzales Stream, Alexisburgh, KS 98118",28-06-2021 07:58,rally,very low,within 18 hours
728,Civil War,conflict,"18202 Kendra Springs Suite 270, Terriburgh, DE 80048",06-08-2021 07:05,warfare,very low,within 12 hours
729,Environmental Hazard,ecological threat,"95279 Brown Harbor, Cohenchester, ND 44197",06-10-2021 11:41,pollution,high,within 12 hours
730,Public Health Emergency,outbreak,"416 Salinas Stream, Arnoldburgh, OH 39905",14-05-2023 07:42,pandemic,moderate,within 12 hours
731,Civil War,conflict,"014 Swanson Manor, New Feliciachester, PW 08655",06-11-2021 12:50,conflict,high,within 36 hours
732,Civil War,armed conflict,"4150 Cory Radial Apt. 465, Port Kim, DE 23602",20-03-2022 15:20,conflict,very low,within 12 hours
733,Protest,protest,"367 Wood Freeway, Millerfurt, WA 01932",16-10-2023 22:33,protest,very high,within 36 hours
734,Environmental Hazard,pollution,"27950 Jamie Court, Baileyborough, SD 20949",17-08-2023 19:19,pollution,moderate,within 18 hours
735,Riot,civil unrest,"625 Hayes Viaduct Apt. 932, Port Kellymouth, MH 81879",11-10-2020 14:04,violent protest,moderate,within 6 hours
736,Crime Spree,lawlessness,"262 Kelly Prairie, North Adamberg, OH 85324",21-02-2022 03:30,lawlessness,high,within 36 hours
737,Environmental Hazard,toxic contamination,"905 Patricia Parks, Thomasbury, VI 94386",09-05-2022 19:22,environmental hazard,moderate,within 6 hours
738,Riot,violent protest,"66609 Everett Vista Suite 069, Olsonmouth, ME 46927",01-02-2022 08:02,civil unrest,high,within 24 hours
739,Public Health Emergency,outbreak,"8240 Guerra Neck Suite 306, Justinberg, FL 16067",24-01-2020 11:59,pandemic,moderate,within 48 hours
740,Public Health Emergency,health crisis,"8085 Joshua Well Suite 058, Dorothyside, PA 92296",13-05-2023 16:33,health crisis,very high,within 36 hours
741,Civil War,conflict,"4408 Michael Rapid, New Donald, NJ 86796",18-08-2023 07:30,insurgency,low,within 6 hours
742,Crime Spree,criminal activity,"89496 Elizabeth Glen, Washingtonton, PA 71811",16-04-2022 03:30,criminal outbreak,high,within 18 hours
743,Public Health Emergency,epidemic,"03623 Johnson Path Suite 187, New Stephanieton, MD 43779",04-01-2023 13:53,pandemic,very high,within 12 hours
744,Public Health Emergency,public health emergency,"22133 Davis Path, West Christopherton, CO 96898",01-08-2020 21:48,outbreak,high,within 24 hours
745,Riot,uprising,"574 Angela Islands Apt. 868, East Patricia, AK 28868",31-05-2020 17:55,violent protest,low,within 36 hours
746,Labor Strike,strike,"6666 Nguyen Plains, Port Wesleyborough, VA 97239",10-04-2021 22:08,labor strike,low,within 12 hours
747,Crime Spree,criminal activity,"3208 Frederick Land, Longbury, MH 86726",05-04-2022 10:29,lawlessness,very low,within 24 hours
748,Labor Strike,industrial action,"8010 Harrington Harbors, West Daniel, IA 60193",20-09-2020 04:00,labor strike,very high,within 36 hours
749,Public Health Emergency,outbreak,"8174 Julie Squares Apt. 784, Ruizstad, NV 82405",31-07-2023 06:41,health crisis,low,within 6 hours
750,Public Health Emergency,health crisis,"36705 Angela Rest, Hernandezside, ND 02553",06-06-2020 13:58,health crisis,very high,within 36 hours
751,Civil War,civil war,"USNS Hansen, FPO AE 97654",29-08-2020 21:22,insurgency,moderate,within 24 hours
752,Crime Spree,criminal outbreak,"6213 Kimberly Courts, Fuentesside, MO 02194",11-03-2022 21:35,crime wave,very low,within 24 hours
753,Protest,demonstration,"40367 Brenda Crossing, Danielburgh, UT 18642",26-12-2020 19:15,protest,moderate,within 24 hours
754,Environmental Hazard,environmental disaster,"0736 Hannah Camp, Port Karenbury, LA 65475",31-03-2024 10:42,environmental disaster,very low,within 24 hours
755,Labor Strike,labor dispute,"Unit 5906 Box 3419, DPO AP 03477",16-08-2022 12:30,worker protest,moderate,within 18 hours
756,Public Health Emergency,public health emergency,"554 Branch Rapids, New Aaron, PA 68464",01-04-2024 11:17,epidemic,moderate,within 6 hours
757,Environmental Hazard,pollution,"2519 Melanie Greens Suite 148, South Christopher, CT 58757",11-09-2020 22:33,ecological threat,very high,within 36 hours
758,Terrorist Attack,terrorism,"6923 Scott Turnpike, North Robert, GU 31957",11-12-2023 17:35,armed assault,high,within 36 hours
759,Public Health Emergency,epidemic,"029 Alicia Summit, Barrettmouth, OR 91391",26-04-2022 04:03,public health emergency,very low,within 18 hours
760,Labor Strike,worker protest,"5595 West Gardens, North William, PW 90576",30-10-2023 22:44,strike,moderate,within 36 hours
761,Protest,march,"669 Eugene Wells, Dennishaven, KS 16156",13-08-2020 17:25,protest,low,within 24 hours
762,Environmental Hazard,ecological threat,"9235 Deleon Center, Mariaport, AL 72601",23-12-2023 04:10,ecological threat,very high,within 6 hours
763,Riot,uprising,"223 Martin Plain, South Todd, MT 17438",24-11-2023 03:18,civil unrest,high,within 36 hours
764,Crime Spree,crime spree,"651 Rosales Shoals Apt. 974, West Dawnmouth, SD 37977",12-11-2021 06:39,lawlessness,high,within 48 hours
765,Public Health Emergency,pandemic,"0835 Goodwin Camp Apt. 406, Smithmouth, AS 20504",19-03-2021 21:43,public health emergency,very high,within 12 hours
766,Crime Spree,crime wave,"7692 Jessica Curve Suite 156, East Logan, MA 23824",07-05-2022 19:29,lawlessness,very low,within 6 hours
767,Civil War,civil war,"USS Ford, FPO AA 86282",25-04-2021 23:51,civil war,very low,within 24 hours
768,Riot,uprising,"2480 Charles Ports, Hermanland, VT 07944",21-03-2021 22:18,riot,very high,within 24 hours
769,Protest,march,"54269 Adkins Meadows Apt. 233, Port Abigail, AL 51571",12-01-2021 08:59,rally,very low,within 24 hours
770,Labor Strike,labor strike,"PSC 7078, Box 9542, APO AE 49096",09-03-2024 18:54,labor strike,moderate,within 36 hours
771,Terrorist Attack,bombing,"189 Angela Tunnel, Port Steven, OH 78123",10-12-2022 17:48,hostage crisis,moderate,within 6 hours
772,Riot,civil unrest,"26301 Hall Plains Apt. 916, North Christopherfort, AR 01241",30-01-2024 00:43,uprising,low,within 12 hours
773,Riot,uprising,"101 Gonzalez Drive, Smithfurt, UT 60204",16-02-2022 23:17,civil unrest,high,within 18 hours
774,Environmental Hazard,environmental hazard,"6512 Eric Turnpike, New Kevin, OK 28924",31-03-2020 15:03,environmental hazard,low,within 18 hours
775,Protest,march,"664 Jackson Coves, East Jeremyton, NE 34347",08-02-2023 23:17,rally,low,within 18 hours
776,Environmental Hazard,toxic contamination,"47143 Randy Spurs, Michaeltown, WV 79717",07-07-2021 06:36,environmental disaster,very low,within 18 hours
777,Public Health Emergency,health crisis,"5994 Bean Bridge Apt. 670, West Mark, KS 52976",22-08-2020 05:11,health crisis,very low,within 18 hours
778,Protest,demonstration,"8802 Martinez Knoll Apt. 986, Carlosside, NE 49564",26-07-2023 05:27,strike,very high,within 48 hours
779,Public Health Emergency,outbreak,"USNS Ortega, FPO AE 87272",16-09-2023 03:00,epidemic,low,within 36 hours
780,Public Health Emergency,health crisis,"5716 Davis Ways Apt. 692, Jefferyland, IA 38302",24-07-2020 17:56,public health emergency,moderate,within 6 hours
781,Crime Spree,lawlessness,"01569 Richard Junctions Suite 376, Port Cherylberg, CA 83272",30-10-2022 17:05,crime wave,moderate,within 48 hours
782,Environmental Hazard,toxic contamination,"Unit 1966 Box 7608, DPO AE 85478",26-08-2022 15:39,pollution,very low,within 48 hours
783,Labor Strike,strike,"40589 Neal Port, Ruizhaven, ME 78358",17-06-2023 22:55,industrial action,low,within 48 hours
784,Crime Spree,criminal outbreak,"627 Cunningham Pike, Parkerstad, KS 21863",28-01-2021 07:10,criminal outbreak,high,within 12 hours
785,Protest,demonstration,"PSC 4947, Box 1271, APO AA 71468",09-02-2023 15:13,strike,high,within 12 hours
786,Crime Spree,crime spree,"405 Jones Road Suite 286, Port Heatherchester, MT 67806",20-01-2024 04:21,criminal activity,high,within 12 hours
787,Civil War,conflict,"3443 Elizabeth Corners, Port Johnville, TN 28243",29-06-2022 19:21,armed conflict,low,within 18 hours
788,Public Health Emergency,epidemic,"96450 Hanna Spring Apt. 018, North Lindaton, MD 50802",23-01-2021 13:40,outbreak,very high,within 6 hours
789,Public Health Emergency,public health emergency,"04666 Dustin Road, Lake Timothy, TN 74401",20-09-2020 06:05,pandemic,moderate,within 18 hours
790,Public Health Emergency,outbreak,"2699 Mary Roads, Choiport, KS 73452",12-07-2021 19:44,pandemic,very low,within 48 hours
791,Public Health Emergency,health crisis,"275 Hall Canyon Apt. 655, Port Davidshire, VI 50527",19-05-2022 08:33,health crisis,very low,within 48 hours
792,Protest,rally,"127 Juan Falls Suite 659, East Aaron, OH 97115",02-04-2021 04:41,march,moderate,within 18 hours
793,Environmental Hazard,toxic contamination,"6154 Green Plain Suite 968, South Loribury, TN 66954",14-11-2020 23:29,ecological threat,moderate,within 6 hours
794,Environmental Hazard,environmental hazard,"234 Simpson Union, Smallbury, NV 52552",29-11-2022 12:46,toxic contamination,high,within 12 hours
795,Protest,strike,"9264 Duke Avenue, North Julie, WA 31175",20-03-2021 05:06,protest,moderate,within 6 hours
796,Labor Strike,labor strike,"3564 Patrick Burg, Lake Daniel, IA 69212",20-02-2021 04:24,worker protest,very high,within 36 hours
797,Protest,strike,"169 Michael Cove Apt. 468, North Gabriel, HI 16120",01-11-2022 09:25,march,moderate,within 6 hours
798,Riot,violent protest,"942 Andrew Spurs Apt. 977, North Lawrence, CA 34973",14-07-2023 16:39,uprising,high,within 6 hours
799,Terrorist Attack,hostage crisis,"PSC 4170, Box 1871, APO AE 39921",05-07-2020 07:32,terrorist attack,low,within 36 hours
800,Terrorist Attack,hostage crisis,"00103 Meghan Lock, Maxwellland, MT 88671",26-09-2020 19:03,bombing,high,within 12 hours
801,Protest,march,"6311 Mary Village Apt. 704, Gregoryburgh, AZ 24738",04-10-2020 17:00,strike,very high,within 6 hours
802,Public Health Emergency,public health emergency,"8855 Phillips Locks, New Brian, FM 68055",07-01-2023 10:01,epidemic,moderate,within 18 hours
803,Riot,violent protest,"7799 Stafford Extensions, New Michaelburgh, VI 06245",25-03-2022 21:21,civil unrest,moderate,within 12 hours
804,Terrorist Attack,bombing,"598 Pierce Street, East Christopherbury, MT 97828",31-03-2022 12:31,bombing,very low,within 12 hours
805,Riot,civil unrest,"USS Holland, FPO AP 47495",06-08-2021 07:51,riot,very low,within 18 hours
806,Environmental Hazard,pollution,"51087 Stephen Mountains, North Davidberg, ND 59224",29-08-2022 14:08,pollution,very high,within 24 hours
807,Labor Strike,worker protest,"8755 Gutierrez Plain, East Cody, MH 64985",06-11-2023 20:24,worker protest,high,within 24 hours
808,Protest,march,"95326 Ryan Greens Apt. 622, Greenburgh, KS 76776",08-04-2020 15:53,rally,very high,within 48 hours
809,Riot,violent protest,"556 William Meadows, Davisshire, TX 11198",04-11-2022 19:28,disturbance,very high,within 6 hours
810,Terrorist Attack,terrorism,"2400 Romero Stream Apt. 336, Melanieshire, FM 68430",14-02-2024 17:23,armed assault,very low,within 36 hours
811,Terrorist Attack,armed assault,"344 Malone Plaza, Jeromefort, WY 11850",24-09-2021 07:35,hostage crisis,high,within 18 hours
812,Labor Strike,industrial action,"36974 Sheila Throughway Apt. 268, West Courtney, MH 89221",02-03-2024 03:19,industrial action,very low,within 12 hours
813,Terrorist Attack,bombing,"63886 Potts Lodge Suite 020, Kimberlyshire, KY 75614",11-05-2022 10:25,terrorism,moderate,within 24 hours
814,Labor Strike,strike,"794 Alvarez Ports, Larryville, HI 05312",04-09-2023 14:28,strike,very high,within 24 hours
815,Public Health Emergency,public health emergency,"9869 Andrew Place, West Robert, AK 41651",22-02-2020 22:28,epidemic,high,within 12 hours
816,Crime Spree,crime wave,"820 James Club, East Willie, CA 59525",25-04-2022 11:47,crime spree,high,within 36 hours
817,Civil War,armed conflict,"USNS Bates, FPO AP 27491",03-04-2020 05:22,warfare,very low,within 48 hours
818,Terrorist Attack,armed assault,"229 Jon Park, New Michaelburgh, TX 10157",11-10-2022 06:00,bombing,very low,within 6 hours
819,Terrorist Attack,bombing,"956 Bianca Squares Apt. 691, Lake Elizabeth, MH 31307",12-11-2021 02:43,hostage crisis,moderate,within 6 hours
820,Civil War,armed conflict,"3859 Garcia Corners Suite 548, South Amanda, NH 14465",19-08-2023 07:21,civil war,high,within 48 hours
821,Protest,protest,"7481 Lori Parkways Apt. 938, West John, LA 52703",25-02-2022 01:48,protest,very low,within 12 hours
822,Crime Spree,crime wave,"661 William Expressway, South Michaelland, MP 44877",28-03-2021 09:09,crime wave,moderate,within 12 hours
823,Terrorist Attack,terrorist attack,"5856 Jeffery Summit, South Brenda, NC 64248",05-06-2021 13:08,terrorism,high,within 36 hours
824,Environmental Hazard,ecological threat,"5584 Rachel Crossing, Nguyenburgh, CA 61662",27-06-2021 11:15,pollution,very low,within 6 hours
825,Labor Strike,labor strike,"69774 Briggs Loop, South Danielville, NM 59395",17-02-2022 03:09,industrial action,very low,within 24 hours
826,Public Health Emergency,health crisis,"600 Smith Curve Suite 202, South Dustin, MS 01990",09-09-2020 14:17,epidemic,low,within 18 hours
827,Crime Spree,criminal outbreak,"83624 Shawna Ridges, Lake Nicholemouth, NC 03123",22-05-2023 14:37,lawlessness,moderate,within 36 hours
828,Riot,uprising,"3534 Park Tunnel Apt. 784, Stevensstad, IN 89214",24-03-2023 23:39,riot,very low,within 6 hours
829,Terrorist Attack,terrorist attack,"4610 Justin Avenue, Leontown, GU 64605",12-05-2021 15:23,terrorism,very low,within 48 hours
830,Civil War,armed conflict,"52010 Shawn Shores, Woodschester, IL 01250",16-02-2021 11:51,insurgency,very high,within 48 hours
831,Terrorist Attack,terrorist attack,"367 Alexander Extensions, Mejialand, AZ 60974",17-07-2022 11:00,terrorist attack,low,within 6 hours
832,Civil War,armed conflict,"Unit 7575 Box 1104, DPO AP 60178",05-03-2021 18:36,civil war,high,within 48 hours
833,Public Health Emergency,pandemic,"823 Torres Circle Suite 608, Langmouth, FL 51964",14-05-2021 08:21,outbreak,very high,within 6 hours
834,Protest,demonstration,"4876 Catherine Lodge Apt. 950, Tylerhaven, OH 63529",06-10-2021 22:16,demonstration,very low,within 12 hours
835,Environmental Hazard,environmental disaster,"58624 Moreno Knoll, Williamston, FM 88189",24-05-2022 16:25,environmental hazard,very high,within 48 hours
836,Riot,civil unrest,"9689 Burns Ways Apt. 706, South Natasha, TX 39484",18-08-2020 15:32,violent protest,very high,within 48 hours
837,Environmental Hazard,ecological threat,"72752 Clark Flat Apt. 994, Turnerside, AS 10305",17-06-2021 20:31,environmental disaster,high,within 18 hours
838,Crime Spree,lawlessness,"829 Paula Locks Suite 652, New Peter, GA 69319",20-04-2022 20:16,lawlessness,very low,within 24 hours
839,Civil War,insurgency,"718 Stone Ports Apt. 857, East Marthashire, NM 65196",20-05-2021 01:43,armed conflict,very high,within 48 hours
840,Riot,disturbance,"59760 Hanson Bridge, Alvarezborough, MT 61548",07-05-2023 13:00,civil unrest,moderate,within 36 hours
841,Civil War,insurgency,"644 Marissa Stravenue Apt. 124, Noahville, WI 05121",12-03-2024 18:14,warfare,very high,within 18 hours
842,Crime Spree,criminal outbreak,"Unit 9486 Box 4536, DPO AE 43820",30-06-2021 03:58,crime wave,moderate,within 6 hours
843,Protest,demonstration,"USNV Campos, FPO AE 16187",12-01-2022 14:56,protest,low,within 24 hours
844,Terrorist Attack,terrorist attack,"384 Linda Fork Suite 398, North James, SC 95721",13-03-2024 12:34,terrorist attack,very high,within 36 hours
845,Riot,riot,"96775 Anderson Turnpike, North Christopher, SC 39930",27-08-2020 16:33,riot,high,within 12 hours
846,Crime Spree,criminal activity,"8277 Jeffrey Estates, Josephmouth, PW 03693",12-02-2022 07:54,criminal activity,low,within 18 hours
847,Public Health Emergency,health crisis,"6713 Christopher Lake Suite 151, Port Melissastad, WI 60227",15-01-2020 19:14,epidemic,high,within 18 hours
848,Environmental Hazard,ecological threat,"729 Hunt Shoals, South Tanya, KS 73841",18-02-2024 08:46,pollution,low,within 12 hours
849,Terrorist Attack,terrorism,"Unit 2421 Box 3897, DPO AA 19235",06-12-2023 07:19,terrorist attack,high,within 48 hours
850,Protest,rally,"9689 Mclaughlin Place, Port Jasmine, VI 95638",04-10-2022 18:19,demonstration,very high,within 36 hours
851,Riot,civil unrest,"386 Meyer Ridges, West Amy, MT 97247",29-05-2021 16:02,violent protest,very low,within 36 hours
852,Terrorist Attack,bombing,"335 Robert Causeway Suite 989, Kristenbury, DC 29160",22-04-2022 14:40,armed assault,moderate,within 24 hours
853,Crime Spree,crime wave,"22222 Juan Path, Stewartmouth, KY 21849",05-07-2020 17:21,crime spree,low,within 18 hours
854,Terrorist Attack,armed assault,"34350 Candice Summit, Brownberg, GU 85032",29-07-2021 05:25,terrorist attack,high,within 36 hours
855,Riot,disturbance,"2578 Dawson Field Apt. 306, South Mackenziestad, TN 19241",30-04-2020 08:52,violent protest,high,within 36 hours
856,Riot,riot,"38299 Sanchez Trace, South Philipburgh, VT 26127",19-03-2024 17:39,riot,low,within 24 hours
857,Crime Spree,criminal outbreak,"6145 Angela Flat, Flowershaven, FM 83923",09-10-2023 19:52,crime wave,moderate,within 12 hours
858,Crime Spree,lawlessness,"0167 Brown Mountain, Morrowborough, AL 92809",18-10-2021 20:47,criminal outbreak,high,within 36 hours
859,Terrorist Attack,bombing,"84811 Maria Divide, Jeffreyhaven, AS 31390",03-06-2022 23:11,terrorism,moderate,within 6 hours
860,Civil War,conflict,"5875 Bradley Squares Suite 079, South Sheila, AS 73419",24-10-2023 23:34,insurgency,very high,within 36 hours
861,Civil War,insurgency,"93669 Charles Junctions Suite 502, East Thomas, MO 13716",25-03-2024 05:53,conflict,low,within 48 hours
862,Environmental Hazard,environmental hazard,"9389 Jeffrey Bypass Suite 254, New Kelly, AK 86431",19-07-2022 12:42,ecological threat,low,within 24 hours
863,Terrorist Attack,bombing,"12219 Thompson Skyway, Port Kylemouth, LA 61583",30-06-2021 01:23,terrorist attack,high,within 48 hours
864,Environmental Hazard,environmental disaster,"611 Gaines Rapid, North Ashley, MI 48918",01-02-2024 19:53,environmental disaster,very low,within 6 hours
865,Riot,disturbance,"483 Martinez Hill, East Michael, AR 99466",24-04-2021 06:40,uprising,low,within 36 hours
866,Environmental Hazard,environmental hazard,"035 Frank Estates, Stacymouth, MO 63962",02-07-2021 22:50,environmental disaster,very high,within 24 hours
867,Environmental Hazard,pollution,"827 Emily Keys, Morganton, WY 49691",18-02-2024 23:11,toxic contamination,very high,within 18 hours
868,Civil War,civil war,"8014 Amanda Plains Suite 159, Hannahtown, PR 67563",12-03-2022 22:24,conflict,very high,within 24 hours
869,Environmental Hazard,ecological threat,"246 Christine Burgs Suite 855, Estradaton, KS 39469",03-11-2023 01:13,environmental disaster,very high,within 12 hours
870,Protest,protest,"854 Taylor Center Apt. 669, Lake Lauren, ME 63856",13-07-2020 06:45,rally,very low,within 48 hours
871,Terrorist Attack,terrorist attack,"07075 Carolyn Courts, New Joanneton, WV 37407",09-07-2021 02:11,armed assault,low,within 48 hours
872,Public Health Emergency,public health emergency,"1221 Gabriel Skyway, Royburgh, VI 40275",15-05-2021 12:37,pandemic,high,within 18 hours
873,Labor Strike,worker protest,"4771 Jennifer Crest Apt. 158, South Jenna, CA 41791",14-03-2023 23:06,worker protest,moderate,within 36 hours
874,Public Health Emergency,outbreak,"Unit 4234 Box 5285, DPO AE 26451",08-03-2021 14:57,pandemic,high,within 18 hours
875,Labor Strike,worker protest,"10220 Mcintyre Ways, Jenniferport, PW 00693",27-08-2023 23:22,industrial action,moderate,within 36 hours
876,Riot,disturbance,"8681 Daniel Shores Apt. 123, New Anthonyview, VI 33710",16-02-2023 08:34,violent protest,moderate,within 24 hours
877,Crime Spree,criminal activity,"6053 Nathan Walk, East Codybury, MO 80863",09-06-2022 03:39,lawlessness,moderate,within 36 hours
878,Terrorist Attack,hostage crisis,"11927 Taylor Pike Apt. 967, Hickshaven, OR 22102",07-10-2020 06:09,hostage crisis,low,within 24 hours
879,Crime Spree,criminal outbreak,"86739 Brian Run, East Seanside, IL 72377",19-05-2021 21:35,crime wave,very high,within 36 hours
880,Terrorist Attack,armed assault,"21781 Daisy Loaf Suite 107, Davidton, WY 78931",07-07-2022 13:11,terrorist attack,high,within 24 hours
881,Protest,protest,"3585 Cynthia Wall, Jesseport, FM 93605",11-10-2022 09:47,protest,low,within 48 hours
882,Environmental Hazard,ecological threat,"4780 Johnson Bridge, Robertport, CA 95402",23-08-2021 09:02,pollution,very high,within 18 hours
883,Terrorist Attack,terrorism,"46506 Lewis Drive, Kellystad, LA 88187",13-09-2020 14:02,hostage crisis,low,within 6 hours
884,Environmental Hazard,ecological threat,"493 Reeves Shores Suite 361, Kathleenstad, PA 88034",04-05-2021 19:45,toxic contamination,high,within 36 hours
885,Environmental Hazard,toxic contamination,"Unit 1682 Box 8381, DPO AE 60780",18-11-2020 23:17,ecological threat,very high,within 6 hours
886,Civil War,civil war,"1165 Gutierrez Parkway Apt. 479, Frederickside, PR 34862",25-01-2024 08:01,conflict,low,within 48 hours
887,Public Health Emergency,epidemic,"8636 Sonia Points Suite 635, Tashaside, OK 97827",13-01-2023 08:58,pandemic,very high,within 36 hours
888,Crime Spree,lawlessness,"88305 Rivas Burgs, North Virginiahaven, AS 97977",31-05-2020 11:03,crime spree,low,within 12 hours
889,Environmental Hazard,ecological threat,"107 Matthew Gateway Apt. 879, Port Teresa, WV 38759",03-04-2020 04:15,environmental hazard,very high,within 18 hours
890,Riot,violent protest,"02357 Katherine Trace Suite 382, Lake Monica, SC 10050",07-01-2022 17:30,civil unrest,very high,within 24 hours
891,Environmental Hazard,toxic contamination,"578 Jerry Common Suite 827, Charlesstad, FL 18559",19-08-2023 05:28,environmental hazard,moderate,within 36 hours
892,Protest,strike,"233 Daniel Prairie, Jermainemouth, CT 09498",19-05-2023 12:56,march,moderate,within 6 hours
893,Crime Spree,criminal activity,"992 Wright Prairie, Michelleland, WI 39400",22-03-2024 13:18,crime wave,very high,within 48 hours
894,Protest,march,"5796 Hernandez Ferry Suite 498, Lake Caroline, MT 86224",21-03-2020 20:55,march,very low,within 48 hours
895,Environmental Hazard,toxic contamination,"88635 Johnny Fort Apt. 442, Victoriafort, OR 75129",15-06-2021 13:40,toxic contamination,very high,within 24 hours
896,Crime Spree,criminal outbreak,"973 Monica Station, Watsonton, FM 06949",12-01-2022 20:27,criminal activity,high,within 24 hours
897,Labor Strike,strike,"61169 Terrell Walks Apt. 729, Coleton, IA 16568",05-08-2023 12:14,labor dispute,low,within 48 hours
898,Protest,demonstration,"95129 Morris Summit Apt. 089, Port Stacyberg, AS 53680",17-04-2021 16:32,strike,low,within 24 hours
899,Labor Strike,labor dispute,"1603 Schmidt Fall Apt. 523, South Eric, MP 65285",19-01-2022 12:31,labor strike,moderate,within 48 hours
900,Civil War,civil war,"0870 Goodman Garden Apt. 894, Christophertown, MD 35202",19-12-2020 01:40,insurgency,very high,within 24 hours
901,Terrorist Attack,armed assault,"7835 Tyler Fork, Johnsonton, TN 57884",21-02-2022 13:38,terrorist attack,very low,within 18 hours
902,Crime Spree,criminal outbreak,"92179 Ryan Flat, Lake Jacob, VI 60439",07-10-2020 20:36,crime spree,very high,within 24 hours
903,Protest,march,"2359 Ronnie Prairie Suite 115, Port Courtneystad, AK 56626",14-09-2021 10:55,demonstration,moderate,within 18 hours
904,Terrorist Attack,armed assault,"792 Robert Island Apt. 900, Cameronfurt, LA 02163",09-06-2023 21:58,hostage crisis,moderate,within 48 hours
905,Riot,violent protest,"363 Hunter Manors Apt. 990, West Michael, GU 68697",09-12-2022 13:01,uprising,very high,within 12 hours
906,Protest,strike,"9477 Thompson Plains, South Michelle, OH 36881",07-09-2021 09:29,protest,high,within 24 hours
907,Protest,march,"3091 Thompson Village, Brownberg, LA 44342",02-06-2021 16:20,march,high,within 48 hours
908,Labor Strike,strike,"9799 Tiffany Lights, Deanborough, AK 88124",29-05-2020 11:00,labor dispute,high,within 12 hours
909,Protest,demonstration,"2004 Nicole Plains, New Brandon, NC 15166",25-08-2023 05:58,strike,moderate,within 24 hours
910,Riot,civil unrest,"0193 Burton Ranch, Dennisside, IL 34227",24-04-2023 11:36,civil unrest,very low,within 36 hours
911,Environmental Hazard,environmental hazard,"0916 Manuel Track Suite 472, North Johnborough, OH 25063",01-08-2021 00:43,ecological threat,moderate,within 24 hours
912,Public Health Emergency,outbreak,"84442 Preston Mill, Travisburgh, NE 62847",04-02-2021 06:39,outbreak,low,within 6 hours
