Crisis ID,Type of Scarcity Crisis,What,Where,When,How,Severity,Duration
840,Food Scarcity,shortage of food,"94838 Samuel Tunnel, New Tammy, CA 20175",25-10-2021 19:49:41,food scarcity,high,within 7 hours
841,Food Scarcity,food insecurity,"54526 Harris Fall Apt. 576, West Vicki, MP 55753",04-05-2022 05:33:02,famine,very low,within 5 hours
842,Energy Scarcity,energy crisis,"2034 Mitchell Fords Suite 111, Conniefurt, NC 17906",23-10-2023 18:39:32,energy crisis,very low,within 5 hours
843,Water Scarcity,shortage of water,"420 Rivera Drive Apt. 914, Owenshaven, CO 11713",28-03-2024 03:48:45,water scarcity,very low,within 7 hours
844,Medical Supplies Scarcity,healthcare crisis,"2363 Jennifer Oval, Arroyotown, PR 12942",01-11-2021 06:46:37,shortage of medical equipment,very low,within 18 hours
845,Food Scarcity,famine,"4216 Katherine Drives Apt. 422, Lake Christopher, PA 03079",02-01-2020 13:53:34,hunger crisis,very high,within 24 hours
846,Medical Supplies Scarcity,medical supplies scarcity,"67559 Murray Trail, South Danielside, KS 68833",19-01-2021 07:55:35,medical supply shortage,moderate,within 48 hours
847,Medical Supplies Scarcity,medical supply shortage,"6475 Wilson Course, Lake Jackieborough, UT 71947",11-12-2021 17:46:03,medical supplies scarcity,high,within 12 hours
848,Energy Scarcity,energy crisis,"72288 Spencer Station, Lake Kimberly, MN 58296",27-01-2022 03:20:31,energy crisis,very low,within 12 hours
849,Fuel Scarcity,fuel scarcity,"5179 Matthew Expressway Apt. 521, Debbieborough, MD 05703",15-10-2022 17:28:52,energy crisis,moderate,within 18 hours
850,Water Scarcity,drought,"63613 Brianna Cliff, New Christine, MD 98453",01-04-2022 00:21:17,water scarcity,high,within 12 hours
851,Food Scarcity,shortage of food,"PSC 1552, Box 8182, APO AA 78099",11-05-2022 13:32:43,food scarcity,low,within 48 hours
852,Food Scarcity,food insecurity,"25965 Bailey Parkways Apt. 758, Burnsmouth, IL 96452",26-06-2022 14:51:49,hunger crisis,very high,within 18 hours
853,Energy Scarcity,power outage,"95343 Jackson Plains Apt. 777, Deborahville, MT 46667",04-01-2024 22:18:07,lack of electricity,high,within 9 hours
854,Fuel Scarcity,fuel scarcity,"5742 Eric Path, Lake Kevinshire, MO 53457",31-03-2020 19:39:13,energy crisis,high,within 48 hours
855,Food Scarcity,famine,"051 Randy Curve, East Saraberg, MD 31125",04-10-2020 20:03:54,food insecurity,very high,within 18 hours
856,Food Scarcity,famine,"48668 Bender Divide, New Patriciahaven, WA 48281",11-03-2024 03:37:50,food insecurity,low,within 12 hours
857,Medical Supplies Scarcity,medical supply shortage,"7704 John Path Suite 964, West Stephanieborough, NE 44300",04-05-2023 02:36:35,lack of medicines,low,within 72 hours
858,Food Scarcity,food scarcity,"312 Torres Fort Apt. 678, Richardport, ND 47924",20-04-2023 05:10:54,shortage of food,very high,within 12 hours
859,Fuel Scarcity,energy crisis,"7237 Rebecca Mews Apt. 490, New Erin, MH 57357",02-09-2022 10:05:33,energy crisis,moderate,within 5 hours
860,Energy Scarcity,energy crisis,"2037 David Heights Apt. 314, Darrylville, TX 86947",19-08-2020 18:57:42,lack of electricity,very low,within 7 hours
861,Water Scarcity,drought,"709 Rangel Trail, Samanthabury, MH 93578",05-04-2023 00:03:41,water scarcity,very low,within 72 hours
862,Fuel Scarcity,shortage of fuel,"361 Rangel Brooks Apt. 965, Williamsbury, NC 75378",29-10-2020 16:13:37,fuel supply disruption,high,within 9 hours
863,Fuel Scarcity,fuel scarcity,"105 Eugene Fork, Port Nathaniel, ID 68972",02-07-2020 12:48:58,energy crisis,very high,within 9 hours
864,Medical Supplies Scarcity,medical supply shortage,"30795 Lewis Cape Apt. 807, New Jamie, CT 39868",04-07-2021 23:24:11,lack of medicines,high,within 18 hours
865,Water Scarcity,shortage of water,"0085 Garrison Pike, East Latoyaport, AS 33372",08-10-2022 10:08:15,water crisis,low,within 24 hours
866,Medical Supplies Scarcity,healthcare crisis,"208 Smith Hills Apt. 715, Elizabethburgh, ID 30131",07-02-2022 20:34:34,lack of medicines,very low,within 48 hours
867,Food Scarcity,food insecurity,"909 Reginald Island Apt. 625, Lake Royfort, HI 28906",23-02-2022 12:08:05,famine,very low,within 5 hours
868,Medical Supplies Scarcity,shortage of medical equipment,"2532 Susan Spur Apt. 107, South Adam, UT 22720",21-04-2022 18:07:20,shortage of medical equipment,moderate,within 7 hours
869,Food Scarcity,food scarcity,"PSC 6098, Box 0694, APO AP 07487",01-09-2021 07:58:45,hunger crisis,high,within 48 hours
870,Energy Scarcity,lack of electricity,"162 Chandler Cape, South Aprilbury, CO 09139",24-02-2022 02:24:57,lack of electricity,high,within 7 hours
871,Food Scarcity,food insecurity,"674 Charles Mission, Anthonymouth, VA 48215",22-12-2023 15:46:42,food insecurity,very high,within 12 hours
872,Fuel Scarcity,petrol shortage,"128 Taylor Forest Apt. 455, Robertmouth, IL 80678",24-12-2022 13:49:57,petrol shortage,very high,within 9 hours
873,Water Scarcity,lack of clean water,"7488 Harris Gardens Suite 315, Andersonchester, RI 96821",11-03-2023 11:37:21,water crisis,high,within 7 hours
874,Water Scarcity,water crisis,"0651 Kim Plaza, North Elizabeth, RI 19416",09-07-2020 21:48:33,lack of clean water,high,within 24 hours
875,Water Scarcity,shortage of water,"612 Joshua Locks Suite 971, Port Taylor, ND 88378",07-09-2020 02:53:25,drought,very low,within 12 hours
876,Food Scarcity,food insecurity,"8230 Berry Mountains Apt. 284, Danielleborough, NV 85085",30-08-2023 14:37:45,famine,low,within 18 hours
877,Energy Scarcity,power outage,"927 Andrea Drives Suite 355, Christopherview, WI 19560",08-05-2022 17:53:49,energy crisis,moderate,within 48 hours
878,Fuel Scarcity,petrol shortage,"006 Michael Passage, New Donaldberg, MS 38521",24-08-2021 13:00:21,petrol shortage,very low,within 9 hours
879,Water Scarcity,shortage of water,"8526 Perkins Burg Apt. 285, Lake Erica, OH 60362",31-10-2021 19:42:59,drought,moderate,within 7 hours
880,Energy Scarcity,energy scarcity,"20728 Andersen Prairie Suite 915, Annahaven, WY 87311",14-09-2020 05:15:28,energy scarcity,very low,within 12 hours
881,Energy Scarcity,energy crisis,"2348 Michael Mall Apt. 229, West Sarahton, SD 42105",25-10-2022 11:38:14,shortage of energy,high,within 7 hours
882,Medical Supplies Scarcity,medical supply shortage,"19809 Anthony Shoals, Port Derek, KS 83305",10-11-2022 04:57:01,medical supply shortage,moderate,within 12 hours
883,Fuel Scarcity,fuel scarcity,"71661 Baker Extensions, Port Reginaland, ND 30729",14-10-2022 01:09:04,energy crisis,very high,within 12 hours
884,Energy Scarcity,shortage of energy,"716 Nicole Harbor Apt. 316, Port Tony, OR 77280",03-01-2021 23:53:57,power outage,low,within 48 hours
885,Water Scarcity,shortage of water,"2085 Fields Grove, Brewerburgh, NJ 34721",25-12-2023 01:16:19,water crisis,high,within 7 hours
886,Fuel Scarcity,petrol shortage,"1802 Mason River Suite 006, Elizabethburgh, PA 16578",27-07-2023 10:08:08,energy crisis,moderate,within 7 hours
887,Medical Supplies Scarcity,medical supply shortage,"USNV Erickson, FPO AP 93092",12-04-2022 11:31:33,healthcare crisis,moderate,within 5 hours
888,Medical Supplies Scarcity,lack of medicines,"549 Devin Inlet, Davidside, IA 76423",08-02-2022 23:20:52,healthcare crisis,very high,within 12 hours
889,Energy Scarcity,lack of electricity,"579 Christopher Crest Suite 469, South Bryan, NJ 29529",12-12-2020 19:12:04,energy crisis,very low,within 18 hours
890,Medical Supplies Scarcity,medical supply shortage,"160 Fitzpatrick Stravenue Suite 533, Johnsonburgh, AR 80374",29-03-2024 03:45:40,medical supplies scarcity,high,within 7 hours
891,Food Scarcity,food scarcity,"229 Michael Villages Apt. 650, South Meganton, VA 95530",01-04-2022 06:21:31,hunger crisis,high,within 18 hours
892,Energy Scarcity,energy crisis,"40123 John Loop, Stephanieville, AZ 96943",01-03-2022 04:10:45,power outage,moderate,within 5 hours
893,Energy Scarcity,shortage of energy,"0774 Ethan Hills Suite 675, East Anthonyland, HI 97411",12-03-2021 06:25:38,power outage,very low,within 7 hours
894,Food Scarcity,hunger crisis,"273 Le Skyway, New John, CT 95123",19-01-2021 21:52:14,shortage of food,very high,within 5 hours
895,Medical Supplies Scarcity,medical supply shortage,"9627 Peterson Prairie, New Francis, LA 90810",23-12-2020 06:55:11,medical supply shortage,very high,within 18 hours
896,Fuel Scarcity,fuel supply disruption,"1735 Laura Fords Apt. 822, East Miguel, MA 92891",04-04-2020 20:35:51,fuel supply disruption,very high,within 12 hours
897,Food Scarcity,shortage of food,"4071 Castaneda Lodge, Lake Dianaport, ID 87002",13-08-2020 12:11:13,food scarcity,very high,within 48 hours
898,Medical Supplies Scarcity,shortage of medical equipment,"6537 Theresa Row Apt. 570, Lake Mark, VI 39203",24-06-2022 22:45:07,lack of medicines,high,within 5 hours
899,Medical Supplies Scarcity,shortage of medical equipment,"PSC 8930, Box 6378, APO AA 93807",30-07-2022 19:42:57,shortage of medical equipment,very low,within 18 hours
900,Energy Scarcity,power outage,"929 Long Knolls, Port Jasminebury, NJ 49389",22-01-2020 22:48:09,lack of electricity,low,within 24 hours
901,Energy Scarcity,lack of electricity,"82674 Kim Crossing Apt. 125, Aaronberg, DC 13635",08-12-2020 09:53:46,lack of electricity,moderate,within 48 hours
902,Energy Scarcity,shortage of energy,"4865 Livingston Court Suite 958, Tracishire, SD 08761",26-06-2022 07:32:54,shortage of energy,very high,within 48 hours
903,Food Scarcity,famine,"73201 Davis Crossroad, West Josephborough, DE 94297",14-02-2020 15:26:49,shortage of food,high,within 7 hours
904,Fuel Scarcity,petrol shortage,"854 Brent Summit, Port Adammouth, CA 50848",12-12-2023 18:19:59,fuel supply disruption,high,within 9 hours
905,Water Scarcity,drought,"5771 Steven Shoals Apt. 109, Owensshire, NJ 60112",10-08-2021 15:38:05,water scarcity,very high,within 18 hours
906,Food Scarcity,famine,"72926 Pamela Passage, East Kylehaven, MD 82353",19-12-2022 03:07:46,food scarcity,moderate,within 24 hours
907,Energy Scarcity,lack of electricity,"872 Mark Skyway Suite 369, Christopherberg, KS 65058",28-12-2021 14:17:58,shortage of energy,moderate,within 12 hours
908,Medical Supplies Scarcity,medical supply shortage,"5576 Edwards Ford Apt. 955, New Pennyborough, SC 24526",26-08-2023 20:49:16,shortage of medical equipment,moderate,within 9 hours
909,Fuel Scarcity,fuel supply disruption,"055 Smith Shores Apt. 955, Chasetown, WA 93579",25-12-2023 15:11:08,fuel scarcity,moderate,within 48 hours
910,Medical Supplies Scarcity,lack of medicines,"63603 Fuentes Neck, Davidstad, AL 58574",20-10-2020 07:04:16,lack of medicines,low,within 12 hours
911,Water Scarcity,water crisis,"25110 Burns Mount Suite 162, Krystalborough, FM 30851",08-10-2021 15:37:54,water scarcity,very high,within 18 hours
912,Medical Supplies Scarcity,lack of medicines,"42553 Miguel Summit Suite 252, Donaldfurt, PW 31232",30-05-2023 09:28:26,medical supply shortage,very low,within 48 hours
913,Medical Supplies Scarcity,shortage of medical equipment,"33083 Wolfe Falls Suite 479, Lake Kathrynland, AZ 19020",28-01-2021 00:21:42,shortage of medical equipment,moderate,within 18 hours
914,Medical Supplies Scarcity,lack of medicines,"7512 Dennis Green, Port Christopher, NE 10830",14-07-2022 17:06:45,healthcare crisis,moderate,within 48 hours
915,Water Scarcity,lack of clean water,"386 Thomas Well Apt. 958, Lake Sandraport, IN 59784",21-11-2021 04:02:04,drought,moderate,within 7 hours
916,Medical Supplies Scarcity,shortage of medical equipment,"687 Mcdaniel Village, West Matthew, UT 88741",09-10-2020 11:36:47,lack of medicines,low,within 7 hours
917,Food Scarcity,food scarcity,"15036 Thompson Mountains, Port Michael, PW 47776",04-03-2021 06:42:34,shortage of food,high,within 72 hours
918,Energy Scarcity,lack of electricity,"497 Jacob Cove, Ryanmouth, CO 76833",21-02-2020 22:57:35,power outage,high,within 24 hours
919,Medical Supplies Scarcity,shortage of medical equipment,"679 Hamilton Lights Suite 543, South Willie, VI 10238",29-10-2022 06:18:35,shortage of medical equipment,high,within 18 hours
920,Water Scarcity,drought,"665 Carrie Rapids Apt. 658, West Markport, MT 24253",12-05-2021 23:33:14,lack of clean water,low,within 18 hours
921,Medical Supplies Scarcity,shortage of medical equipment,"654 Donald Via, Leslieview, AZ 96258",25-07-2023 08:15:44,healthcare crisis,high,within 24 hours
922,Food Scarcity,famine,"16127 Theresa Trafficway, North Jennifer, KY 43413",17-07-2023 16:50:26,food scarcity,low,within 5 hours
923,Food Scarcity,famine,"01698 Lindsay Ford Apt. 627, New Melissaport, CO 84865",29-10-2023 05:23:00,shortage of food,low,within 7 hours
924,Medical Supplies Scarcity,lack of medicines,"2497 Page Mill, West James, NJ 21941",01-10-2023 05:15:16,medical supplies scarcity,low,within 24 hours
925,Food Scarcity,famine,"241 Washington Trace, Brittneybury, UT 76240",08-01-2022 04:33:31,famine,very low,within 9 hours
926,Energy Scarcity,energy scarcity,"38511 Ryan Radial Apt. 075, Port Davidchester, UT 30791",28-06-2022 23:37:43,power outage,very high,within 12 hours
927,Food Scarcity,food scarcity,"054 Emily Union, South Samuel, WY 70506",20-06-2022 04:20:00,hunger crisis,high,within 9 hours
928,Energy Scarcity,shortage of energy,"00715 Ballard Gateway, Port William, KY 06038",09-07-2022 20:39:22,energy scarcity,very high,within 24 hours
929,Energy Scarcity,energy scarcity,"4746 Tyler Mews, North Josephhaven, GU 26951",15-06-2020 07:25:18,energy scarcity,low,within 5 hours
930,Energy Scarcity,energy crisis,"25901 Livingston Station, Port Johnmouth, OH 35378",14-02-2023 11:55:38,energy crisis,very low,within 48 hours
931,Water Scarcity,shortage of water,"1872 Clark Springs Suite 559, Michaelbury, WI 21602",03-05-2023 18:33:14,water crisis,moderate,within 48 hours
932,Energy Scarcity,energy crisis,"41520 Cooper Burgs, New Feliciabury, KS 22598",10-03-2022 06:59:50,energy crisis,low,within 12 hours
933,Energy Scarcity,energy crisis,"3288 Green Burg, Randallville, SC 86953",01-12-2023 00:46:40,shortage of energy,very low,within 72 hours
934,Food Scarcity,shortage of food,"198 Whitehead Greens, Jamesborough, DC 71222",25-08-2020 14:07:09,famine,very low,within 24 hours
935,Fuel Scarcity,shortage of fuel,"PSC 5658, Box 2367, APO AE 44777",18-06-2020 01:52:06,shortage of fuel,high,within 24 hours
936,Food Scarcity,food insecurity,"9897 Desiree Green, Port Allen, IL 32684",11-01-2020 06:15:26,shortage of food,high,within 7 hours
937,Energy Scarcity,shortage of energy,"39893 Harvey Stravenue Suite 239, North Stacy, IL 48479",11-12-2021 17:02:39,lack of electricity,high,within 5 hours
938,Medical Supplies Scarcity,healthcare crisis,"70468 Ward Stravenue, Jacobport, AS 26236",04-12-2023 04:54:52,medical supplies scarcity,high,within 24 hours
939,Medical Supplies Scarcity,healthcare crisis,"3842 Shawn Rue, Eugenebury, PW 48522",21-01-2021 13:31:37,medical supply shortage,low,within 5 hours
940,Energy Scarcity,energy scarcity,"65824 Jordan Knoll, Douglastown, NY 66783",06-05-2021 19:50:42,energy scarcity,very high,within 72 hours
941,Energy Scarcity,shortage of energy,"9289 Sanders Drives Suite 503, East Oscarbury, IN 39020",30-08-2021 02:08:22,energy scarcity,moderate,within 48 hours
942,Energy Scarcity,lack of electricity,"90853 Galloway Course Apt. 009, Port Stephaniemouth, MD 59137",02-01-2024 10:05:39,energy crisis,very high,within 24 hours
943,Water Scarcity,drought,"8134 Pennington Mountain Apt. 214, South David, GU 66070",14-02-2022 11:16:16,water scarcity,high,within 48 hours
944,Energy Scarcity,energy crisis,"0018 Huynh Mountains Apt. 571, Andersonton, MN 72674",24-08-2021 18:46:41,shortage of energy,very high,within 72 hours
945,Food Scarcity,famine,"034 Deanna Common, North Richardville, DC 54584",30-10-2020 04:56:27,food insecurity,low,within 72 hours
946,Fuel Scarcity,shortage of fuel,"6536 Mayer Wells, North Angelaview, MP 30787",05-09-2022 03:54:10,energy crisis,very high,within 7 hours
947,Fuel Scarcity,fuel scarcity,"04186 Contreras Rue Suite 694, Shelleyland, HI 59050",17-02-2021 16:23:01,fuel supply disruption,low,within 12 hours
948,Water Scarcity,shortage of water,"82879 William Haven Apt. 992, Zacharyville, MP 06361",14-08-2020 11:03:04,water scarcity,moderate,within 7 hours
949,Water Scarcity,water crisis,"PSC 2386, Box 6090, APO AP 30172",30-09-2022 15:00:44,lack of clean water,moderate,within 48 hours
950,Fuel Scarcity,petrol shortage,"72766 Mark Street Suite 438, Howardside, AR 45886",27-03-2020 12:21:48,energy crisis,very low,within 5 hours
951,Energy Scarcity,shortage of energy,"474 Erin Falls, Darrenland, VI 95329",21-11-2021 05:40:42,power outage,very high,within 5 hours
952,Fuel Scarcity,energy crisis,"2745 Joseph Common Suite 728, Hernandezfurt, DE 17105",03-08-2021 13:55:08,fuel supply disruption,very low,within 9 hours
953,Water Scarcity,water scarcity,"PSC 7353, Box 9542, APO AA 52641",13-01-2024 12:44:31,water scarcity,low,within 18 hours
954,Water Scarcity,water crisis,"USS Oconnor, FPO AA 76775",12-04-2023 03:30:15,water crisis,very low,within 48 hours
955,Water Scarcity,water scarcity,"79193 Tiffany Pine Apt. 218, East Ian, WY 84366",16-08-2020 13:38:51,drought,high,within 48 hours
956,Food Scarcity,food insecurity,"41930 Christine Pines Suite 502, Heiditon, OH 31371",26-09-2020 11:47:27,food insecurity,low,within 24 hours
957,Energy Scarcity,power outage,"99469 Brown Viaduct Suite 113, South Robertport, KY 09703",15-01-2022 07:42:52,energy scarcity,very low,within 24 hours
958,Energy Scarcity,shortage of energy,"22113 Fitzgerald Drive Suite 453, North Rosefort, UT 95428",13-06-2023 06:35:02,energy crisis,low,within 72 hours
959,Energy Scarcity,lack of electricity,"PSC 2388, Box 6487, APO AA 72530",07-07-2023 00:07:47,energy scarcity,high,within 9 hours
960,Food Scarcity,food scarcity,"Unit 5016 Box 0418, DPO AP 83917",01-07-2023 03:37:46,food scarcity,very low,within 5 hours
961,Fuel Scarcity,energy crisis,"4818 Deanna Land Suite 119, Lake Tiffany, IA 23505",12-08-2021 15:03:16,fuel supply disruption,high,within 5 hours
962,Medical Supplies Scarcity,lack of medicines,"03750 Alvarado Corners Suite 455, Laneburgh, KS 24071",30-11-2023 01:09:26,medical supplies scarcity,moderate,within 12 hours
963,Medical Supplies Scarcity,lack of medicines,"573 Cameron Orchard Suite 848, Janiceton, NV 71871",17-09-2020 21:27:30,lack of medicines,low,within 18 hours
964,Water Scarcity,shortage of water,"441 Christine Row, South Donnatown, TX 41434",12-12-2021 15:30:22,lack of clean water,very high,within 72 hours
965,Energy Scarcity,energy crisis,"7829 Daniel Wells, North Jakefurt, WI 07918",07-01-2024 07:37:25,shortage of energy,very high,within 12 hours
966,Fuel Scarcity,petrol shortage,"97339 Carr Groves, Marksberg, AS 55557",13-10-2021 07:37:49,shortage of fuel,very low,within 72 hours
967,Water Scarcity,water crisis,"67168 Justin Turnpike Suite 202, Lake Michael, NY 99176",13-06-2022 03:18:37,shortage of water,moderate,within 18 hours
968,Medical Supplies Scarcity,medical supply shortage,"883 Perkins Hill, Toniburgh, VT 49449",29-06-2021 12:33:55,lack of medicines,low,within 9 hours
969,Water Scarcity,lack of clean water,"2426 Curtis Springs, Raymondmouth, NM 72468",07-04-2020 23:57:58,lack of clean water,very high,within 5 hours
970,Medical Supplies Scarcity,medical supplies scarcity,"66756 Espinoza Hills, Joshuafort, MA 71910",03-03-2023 08:40:56,shortage of medical equipment,moderate,within 72 hours
971,Fuel Scarcity,petrol shortage,"3013 Lee Crest, Heatherview, TX 91809",29-07-2022 20:11:26,shortage of fuel,very high,within 18 hours
972,Food Scarcity,food scarcity,"9095 Daniels Greens Suite 232, Amandaton, KS 39925",05-03-2021 06:49:01,famine,moderate,within 24 hours
973,Fuel Scarcity,energy crisis,"143 Caleb Mission Apt. 829, Amyside, WY 97956",03-10-2023 02:41:55,shortage of fuel,low,within 18 hours
974,Food Scarcity,food scarcity,"288 Tracy Road, Stephenland, NH 40413",10-04-2020 18:47:26,food scarcity,low,within 7 hours
975,Water Scarcity,lack of clean water,"27898 Michael Ports, Triciaton, RI 20293",11-10-2020 22:53:57,lack of clean water,low,within 9 hours
976,Medical Supplies Scarcity,healthcare crisis,"04888 Reed Motorway, Andersonville, NV 53447",29-05-2022 17:17:52,lack of medicines,very high,within 7 hours
977,Water Scarcity,drought,"185 Rebecca Alley Suite 167, Solismouth, WA 74488",21-01-2020 23:02:37,water crisis,very high,within 18 hours
978,Food Scarcity,food scarcity,"994 Watson Villages, Port Jasonburgh, TN 76347",25-11-2021 00:36:09,food insecurity,very high,within 72 hours
979,Energy Scarcity,energy scarcity,"72028 Kevin Ways Suite 201, West Jessica, DC 14829",09-05-2023 10:44:54,shortage of energy,moderate,within 5 hours
980,Energy Scarcity,power outage,"027 Bradley Avenue Suite 208, Paulberg, MP 99735",06-02-2021 10:00:25,energy crisis,very low,within 24 hours
981,Medical Supplies Scarcity,shortage of medical equipment,"208 Mary Locks Suite 248, Chloeborough, VA 08652",27-07-2023 02:18:31,lack of medicines,very low,within 7 hours
982,Fuel Scarcity,energy crisis,"21251 Michael Harbors Apt. 754, Jamesberg, PR 18982",09-02-2024 15:31:10,fuel supply disruption,very low,within 7 hours
983,Fuel Scarcity,fuel supply disruption,"USS Harris, FPO AE 56109",28-11-2020 06:33:51,fuel scarcity,very low,within 18 hours
984,Food Scarcity,hunger crisis,"81204 Alicia Stravenue Apt. 612, New Debbiefort, TN 24414",01-04-2022 14:32:47,food insecurity,moderate,within 9 hours
985,Water Scarcity,lack of clean water,"92789 Jared Club, Baxtershire, FM 16527",02-12-2022 02:48:31,water crisis,very low,within 12 hours
986,Fuel Scarcity,energy crisis,"36639 Murphy Springs, North Samuel, LA 45289",16-03-2023 19:17:25,fuel scarcity,moderate,within 9 hours
987,Food Scarcity,food insecurity,"PSC 8224, Box 8888, APO AA 66756",24-01-2021 19:43:50,famine,high,within 48 hours
988,Water Scarcity,lack of clean water,"533 Christopher Mountain, Pughchester, SC 43212",13-11-2020 23:25:18,lack of clean water,very high,within 18 hours
989,Energy Scarcity,energy crisis,"5330 Colton Square, Erikachester, MI 62036",08-05-2021 17:22:09,shortage of energy,low,within 5 hours
990,Water Scarcity,water crisis,"98649 David Corner Suite 892, Michaelside, FM 45672",27-04-2021 10:54:49,drought,very high,within 9 hours
991,Fuel Scarcity,fuel supply disruption,"02798 Gonzales Crescent Apt. 312, Port Patricia, WY 89415",27-05-2020 08:47:41,shortage of fuel,high,within 48 hours
992,Medical Supplies Scarcity,shortage of medical equipment,"726 Christina Trace Apt. 937, Ramseyburgh, DE 00632",04-04-2024 02:11:47,lack of medicines,moderate,within 72 hours
993,Energy Scarcity,power outage,"98484 Hamilton Fork, North Joseph, ND 92996",29-08-2022 22:23:30,energy scarcity,moderate,within 7 hours
994,Medical Supplies Scarcity,medical supply shortage,"27303 Robert Park Apt. 033, Jeremiahchester, ID 86669",08-07-2022 05:07:41,medical supply shortage,low,within 7 hours
995,Water Scarcity,shortage of water,"817 Williams Harbor Suite 980, Jameshaven, MS 48759",25-10-2021 04:06:09,lack of clean water,very high,within 9 hours
996,Energy Scarcity,power outage,"PSC 2579, Box 6748, APO AP 69682",14-12-2021 04:57:33,shortage of energy,moderate,within 7 hours
997,Medical Supplies Scarcity,lack of medicines,"USS Cole, FPO AP 75357",13-09-2023 15:29:00,medical supplies scarcity,very low,within 18 hours
998,Energy Scarcity,energy scarcity,"PSC 5728, Box 1041, APO AP 13971",19-01-2022 05:22:53,energy crisis,very low,within 18 hours
999,Fuel Scarcity,fuel scarcity,"51814 Shannon Motorway Apt. 992, Conwayville, NE 23395",08-11-2021 15:13:12,petrol shortage,low,within 48 hours
1000,Fuel Scarcity,petrol shortage,"547 Duran Isle Suite 962, South Brandy, WV 42456",05-10-2023 15:54:05,shortage of fuel,very high,within 5 hours
1001,Fuel Scarcity,fuel scarcity,"Unit 8950 Box 7493, DPO AE 99315",10-02-2022 07:46:48,energy crisis,low,within 5 hours
1002,Medical Supplies Scarcity,lack of medicines,"167 Moore Spurs Apt. 540, New Adamstad, IA 76911",31-03-2024 08:04:46,lack of medicines,very low,within 18 hours
1003,Energy Scarcity,shortage of energy,"5480 Sean Divide Apt. 551, New Codyshire, WA 51110",15-07-2023 21:18:44,lack of electricity,low,within 7 hours
1004,Energy Scarcity,energy crisis,"2738 John Wall Apt. 543, Port Taramouth, NJ 68117",01-05-2021 02:49:55,energy scarcity,high,within 72 hours
1005,Food Scarcity,food insecurity,"94008 Williams Centers, Port Beth, IL 20872",01-06-2022 17:29:17,shortage of food,very low,within 24 hours
1006,Fuel Scarcity,fuel scarcity,"61389 Wade Spur, Port Christopherport, TX 91064",09-08-2023 17:58:35,petrol shortage,low,within 24 hours
1007,Medical Supplies Scarcity,shortage of medical equipment,"927 Lewis Corners Suite 568, Allisonstad, AL 17821",17-06-2023 18:07:33,healthcare crisis,high,within 9 hours
1008,Fuel Scarcity,petrol shortage,"0259 Dickson Ports, South Jessicafort, SD 11978",12-03-2024 23:53:40,shortage of fuel,low,within 12 hours
1009,Energy Scarcity,power outage,"244 Michael Creek Apt. 443, Gabrielleshire, VI 00809",18-03-2024 07:34:54,energy scarcity,very high,within 18 hours
1010,Energy Scarcity,shortage of energy,"161 Austin Trace, Tonyastad, TX 00918",17-06-2021 00:58:18,lack of electricity,very high,within 72 hours
1011,Food Scarcity,hunger crisis,"53418 Kennedy Land, Stanleyport, SC 45836",23-11-2022 13:54:05,food insecurity,very high,within 18 hours
1012,Food Scarcity,famine,"003 Tapia Garden, Michaelberg, CO 54036",29-05-2020 08:20:46,famine,moderate,within 48 hours
1013,Medical Supplies Scarcity,healthcare crisis,"66568 James Rapids Suite 987, North Danatown, MD 48875",07-01-2024 09:01:05,healthcare crisis,high,within 12 hours
1014,Energy Scarcity,shortage of energy,"029 Frank Mission, Shawton, AR 12826",07-07-2023 23:11:13,energy crisis,high,within 48 hours
1015,Water Scarcity,lack of clean water,"904 Catherine Cape Apt. 231, West Vincentstad, VT 03415",14-09-2023 11:12:17,shortage of water,high,within 72 hours
1016,Medical Supplies Scarcity,lack of medicines,"92839 Collins Stream Apt. 903, Gabrielberg, AK 72773",08-05-2022 09:35:38,lack of medicines,high,within 12 hours
1017,Water Scarcity,drought,"9019 Nicholas Passage, East Debra, TN 32103",30-05-2020 06:17:08,water scarcity,moderate,within 7 hours
1018,Fuel Scarcity,energy crisis,"96919 Robin Mews, Lake Heather, VA 64436",04-10-2021 18:11:07,petrol shortage,very high,within 7 hours
1019,Energy Scarcity,lack of electricity,"2672 Michael Glens, Matthewburgh, WV 56543",24-12-2020 03:35:16,shortage of energy,high,within 7 hours
1020,Water Scarcity,drought,"PSC 6176, Box 5560, APO AP 35238",10-07-2020 18:03:01,shortage of water,moderate,within 72 hours
1021,Food Scarcity,shortage of food,"410 Toni Land Apt. 710, East John, UT 39813",23-01-2020 06:01:12,food scarcity,high,within 24 hours
1022,Energy Scarcity,energy scarcity,"80331 Michael Shoal, Adamshaven, MI 57243",24-07-2022 00:51:27,energy crisis,very high,within 18 hours
1023,Fuel Scarcity,fuel scarcity,"182 Stewart Plaza, East Aaron, MS 86507",25-06-2022 09:04:24,energy crisis,high,within 48 hours
1024,Medical Supplies Scarcity,shortage of medical equipment,"99661 Monroe Plains Apt. 189, Carlyshire, MH 90905",02-05-2022 05:02:53,medical supply shortage,moderate,within 12 hours
1025,Water Scarcity,water crisis,"3233 White Drive Apt. 622, Jerryberg, NJ 12932",17-12-2020 15:40:04,lack of clean water,very low,within 72 hours
1026,Energy Scarcity,shortage of energy,"8068 Stacey Forest Suite 090, Barronborough, NE 53647",06-05-2021 22:03:23,power outage,moderate,within 48 hours
